Nr	3D-ObjectID	BurialNo	Category	Archaeological_element	CatalogueNo	Individual	Title	Description	Archaeological Project	Fieldseason	Year_digitized	Polygons	Decimated geometry	Digitization Method	Software Used	3D-X	3D-Y	3D-Z	Author	File-Format	Burial	Site	Period	Ceramic_period	Structure	Location	Arquitecture	Deposit	Reopening	Evidence_reopening	MNI	Associated objects	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification
22	PalSep_Model47	5	Artefact	Spindle whorl	13_401		Artefact: Ceramic spindle whorl from Burial 5	Ceramic spindle whorl decorated with quadripartite pattern	PREP	2016	2023	688.486	99.000	Photogrammetry	Agisoft Metashape Pro	600999,018	1933362,763	96,584	Mirko De Tomassi	OBJ	B5	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Broken covering	10	Quartz crystal, spindle whorl, three vessels, bone needle, obsidian blade																																				
23	PalSep_Model48	8	Artefact	Vessel	11_402		Artefact: Ceramic bowl from Burial 8	Restored ceramic bowl	PREP	2016	2023	2.538.010	99.000	Photogrammetry	Agisoft Metashape Pro	601002,805	1933356,469	95,633	Mirko De Tomassi	OBJ	B8	Palenque, Group IV			Patio		Simple crypt of box	Collective secondary	No		3	Bone needle, vessel, two stingray spines (one burnt), bone needle, chicozapote seed																																				
24	PalSep_Model49	14	Artefact	Vessel	400-44-09		Artefact: Ceramic bowl from Burial 14	Ceramic serving bowl	PREP	2016	2023	1.404.752	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B14	Palenque, Group IV		Motiepa 	J7	Underneath the structure	Elaborate Crypt	Individual primary	Yes?		1	Vessel, spindle whorl, earrings and earspools, jade beads																																				
25	PalSep_Model50	1	Burial			Individuals 1D and 1E	Burial: Burial 1, Individuals D and E	Two individuals, a child and a male adult, were buried in a simple grave made of stacked stones; the taphonomy of the two skeletons and the whole context suggests the burial was reopened in the past. 	PREP	2016	2016	8.771.963	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B1D-E	Palenque, Group IV			J4/J6	Between structures	Simple Crypt	Mixed	Yes	Partial covering; reduced primary (Individual 1E); alteration of Individual 1D	3	Three obsidian blades, quartz crystal, bone needle	S1D		5.5-6.5 ys	Primary	Supine	Extended	24 E			S1E	Masculine	20 ys	Reduced primary	Lateral left	Flexed	22 E?																				
26	PalSep_Model51	17	Burial			Individuals 17A	Burial: Burial 17, Individual A	A child buried in a pit in a flexed supine position, an uncommon position at Palenque	PREP	2016	2016	11.418.372	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B17	Palenque, Group IV			J7	Front	Pit	Individual primary	No		1		S17A	Femenine	6 ys	Primary	Supine	Flexed																														
27	PalSep_Model54	1A	Burial			Individual 1A	Burial: Burial 1, Individual A	A child buried in a simple grave made of stacked stones with a greenstone bead in their mouth, a common ancient Maya funerary feature	PREP	2016	2016	4.227.080	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B1A	Palenque, Group IV			J4/J6	Between structures	Simple Crypt	Individual primary	No		1	"Jade bead and animal tooth
"	S1A		1.5 ys	Primary	Supine	Extended	3 E																													
28	PalSep_Model57	1	Burial			Individuals 1B and 1C	Burial: Burial 1, Individuals B and C	A child was buried alongside the secondary bones of an adult	PREP	2016	2016	3.388.262	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B1B-C	Palenque, Group IV			J4/J6	Between structures	Simple Crypt	Mixed	No		2		S1B		3.5-4.5 ys	Primary	Supine	Extended	13 E			S1C		Adult	Secondary	Disarticulated	Disarticulated																					
29	PalSep_Model58	1	Burial			Individual 1B	Burial: Burial 1, Individual B	This model shows the skeleton of a child buried in a simple grave made of stacked stones	PREP	2016	2016	3.415.572	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B1B-C	Palenque, Group IV			J4/J6	Between structures	Simple Crypt	Mixed	No		2		S1B		3.5-4.5 ys	Primary	Supine	Extended																														
30	PalSep_Model60	1	Burial			Individual 1E	Burial: Burial 1, Individual E	Burial 1 after the removal of the child (Individual D) and the first layer of bones of the male adult (Individual E)	PREP	2016	2016	3.519.020	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B1D-E	Palenque, Group IV			J4/J6	Between structures	Simple Crypt	Mixed	Yes	Partial covering; reduced primary (Individual 1E); alteration of Individual 1D	3	Three obsidian blades, quartz crystal, bone needle	S1E	Masculine	20 ys	Reduced primary	Lateral left	Flexed	22 E?																													
31	PalSep_Model61	2	Burial			Individual 2A	Burial: Burial 2, Individual A first layer	The beginning of the excavation of Burial 2, showing the lower skeleton of an adult individual of undetermined sex	PREP	2016	2016	1.763.335	100000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B2	Palenque, Group IV			Patio		Simple Crypt	Mixed	No		3	"Jade bead
"	S2A		Adult	Primary	Supine		22 E																													
32	PalSep_Model62	2	Burial			Individual 2A	Burial: Burial 2, Individual A second layer	The upper skeleton of the adult individual found in Burial 2	PREP	2016	2016	3.977.096	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B2	Palenque, Group IV			Patio		Simple Crypt	Mixed	No		3	"Jade bead
"	S2A		Adult	Primary	Supine		22 E																													
33	PalSep_Model63	3	Burial			Individual 3A	Burial: Burial 3, Individuals A and B	A female adult individual was buried in this elaborate stone grave alongside an unborn or newborn infant	PREP	2016	2016	2.532.260	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B3	Palenque, Group IV		Murciélagos-Balunté	Patio		Elaborate Crypt	Primary collective	No		1	Vessel	S3A	Femenine	25-29 ys	Primary	Supine		8 E																													
34	PalSep_Model66	4	Burial				Burial: Burial 4, Missing Capstones	The lid of Burial 4 is missing a few slabs while others are broken; this is commonly considered a sign that the burial was reopened in the past	PREP	2016	2016	221.400		Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B4	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Partial covering	3	 Two vessels, stingray spine, four bone needles																																				
35	PalSep_Model74	5	Burial			Individual 5A	Burial: Burial 5, Individual A	A femenine adult was buried in a collective simple grave	PREP	2016	2016	2.521.100	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B5	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Broken covering	10	Quartz crystal, spindle whorl, three vessels, bone needle, obsidian blade	S5A	Femenine	35-39 ys	Primary	Supine	Extended	17 E																													
36	PalSep_Model75	5	Burial			Individual 5E	Burial: Burial 5, Missing Capstone	The lid of Burial 5 is missing a few slabs while others are broken; this is commonly considered a sign that the burial was reopened in the past. The missing slabs allow to see the bones of the legs of two different individuals and two fragmented ceramic bowls	PREP	2016	2016	1.121.873	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B5	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Broken covering	10	Quartz crystal, spindle whorl, three vessels, bone needle, obsidian blade	S5E	Masculine	Adult	Secondary	Disarticulated	Disarticulated																														
37	PalSep_Model76	5	Burial			Individuals 5A, 5C, 5D and 5E	Burial: Burial 5, Multiple Individuals	The bones of the legs of several individuals in Burial 5	PREP	2016	2016	1.682.438	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B5	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Broken covering	10	Quartz crystal, spindle whorl, three vessels, bone needle, obsidian blade	S5A	Femenine	35-39 ys	Primary	Supine	Extended	17 E			S5B	Femenine?	Adult	Secondary	Disarticulated	Disarticulated				S5D	Masculine?	Adult	Secondary	Disarticulated	Disarticulated				S5E	Masculine	Adult	Secondary	Disarticulated	Disarticulated			
38	PalSep_Model79	7	Burial				Burial: Burial 7, Capstones	The slabs covering Burial 7	PREP	2016	2016	603.782	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B7	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Reduced primary (Individual 7B)	3	Three bone needles, two vessels																																				
39	PalSep_Model80	7	Burial			Individuals 7A and 7B	Burial: Burial 7, Individuals A and B	Two male adults were buried in Burials 7; one of the them (Individual A) is a primary individual, while the other one (Individual B) has been altered after his body had decomposed	PREP	2016	2016	8.473.395	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B7	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Reduced primary (Individual 7B)	3	Three bone needles, two vessels	S7A	Masculine	40-45 ys	Primary	Supine	Extended	24 E	Erect tabular		S7B	Masculine	43.9 ys	Reduced primary	Supine	Disarticulated legs, extended arms	24 E	Oblique tabular																			
40	PalSep_Model81	7	Burial			Individual 7A 	Burial: Burial 7, Individual A	The primary masculine individual in Burial 7 after the the bones of the legs of the other individual were removed during the excavation; his feet were crossed atop a ceramic bowl	PREP	2016	2016	2.560.081	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B7	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Reduced primary (Individual 7B)	3	Three bone needles, two vessels	S7A	Masculine	40-45 ys	Primary	Supine	Extended	24 E																													
41	PalSep_Model83	7	Burial			Individual 7B	Burial: Burial 7, Individual B Upper Body	The upper skeleton of the altered male adult from Burial 7	PREP	2016	2016	7.078.085	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B7	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Reduced primary (Individual 7B)	3	Three bone needles, two vessels	S7B	Femenine	43.9 ys	Reduced primary	Supine	Disarticulated legs, extended arms	24 E	Oblique tabular																												
42	PalSep_Model85	8	Burial			Individual 8A, 8B, 8C, and 15A	Burial: Burials 8 and 15 with interred individuals	Burial 8 is a collective burial containing the remains of three individuals while Burial 15 contains only one individual	PREP	2016	2016	3.863.419	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B8-15	Palenque, Group IV			Patio		Pit?	Individual secondary	No		1	Vessel	S8A	Femenino	40-50	Secondary	Disarticulated	Disarticulated				S8B	Masculine	Adult	Secondary	Disarticulated	Disarticulated				S8C	Masculine	40-44	Secondary	Disarticulated	Disarticulated				S15A	Femenine	35-39	Secondary	Disarticulated	Disarticulated			
